Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 05/24  07:00:00,240.510539125,30.1836977643,80.1721696779,0.0104399312328,37.1018798503,92.3937384068,99.6259871963,89.7002191369,9.90576805939,0.02
 05/24  08:00:00,261.281309066,30.7975654357,88.2967332007,0.0,37.1018798503,104.434947198,73.8439087969,63.9181407376,9.90576805939,0.02
 05/24  09:00:00,280.531733253,31.3177103004,94.9854625777,0.0,37.1018798503,116.476155989,65.7564300124,47.2368215294,9.90576805939,8.61384042368
 05/24  10:00:00,287.444149876,31.8065013569,101.408738417,0.0,37.1018798503,116.476155989,45.5027761764,35.577008117,9.90576805939,0.02
 05/24  11:00:00,295.112710602,32.3860493231,108.497592566,0.0,37.1018798503,116.476155989,42.3019543657,32.3761863064,9.90576805939,0.02
 05/24  12:00:00,288.973801878,33.0013105357,113.785000688,0.0,37.1018798503,104.434947198,43.7284515317,33.8026834723,9.90576805939,0.02
 05/24  13:00:00,306.032134384,33.6672288375,118.135740203,0.0,37.1018798503,116.476155989,39.4277788677,29.5020108083,9.90576805939,0.02
 05/24  14:00:00,311.176454213,34.3930061914,122.554504317,0.0,37.1018798503,116.476155989,44.0067529601,25.4849314807,9.90576805939,8.61605341996
 05/24  15:00:00,316.935905382,35.0190524277,127.688093624,0.0,37.1018798503,116.476155989,27.7016526103,17.775884551,9.90576805939,0.02
 05/24  16:00:00,319.84427933,35.4082682893,130.207629153,0.0,37.1018798503,116.476155989,21.4992305338,11.5734624744,9.90576805939,0.02
 05/24  17:00:00,320.40037481,35.5567092439,130.616093706,0.0,37.1018798503,116.476155989,21.3852225651,11.4594545057,9.90576805939,0.02
 05/24  18:00:00,193.807054785,28.3997737509,92.4451808349,0.0,24.7345865669,47.5788473902,29.8042721609,24.8313881312,4.9528840297,0.02
 05/24  19:00:00,194.046040907,28.1267674385,85.9096699718,0.0,24.7345865669,47.5788473902,41.5706525049,36.5977684753,4.9528840297,0.02
 05/24  20:00:00,177.107948056,28.5781172146,82.7296622341,0.0,12.3672932834,38.6892022431,65.873651881,62.8819214632,2.97173041782,0.02
 05/24  21:00:00,129.362466244,20.1992345392,55.1801677741,0.0,12.3672932834,27.0668015668,70.4196473186,58.8445894951,2.97173041782,8.60332740566
 05/24  22:00:00,110.620804303,19.7839123645,55.5244717231,0.0,4.12243109448,15.9888894789,62.1662914323,59.1745610144,2.97173041782,0.02
 05/24  23:00:00,111.067344191,22.7029327823,52.6648956189,0.0,4.12243109448,15.9888894789,78.2302927878,75.23856237,2.97173041782,0.02
 05/24  24:00:00,91.2752564628,18.1413030983,38.5172092728,0.0,4.12243109448,15.9888894789,64.9255879895,61.9338575717,2.97173041782,0.02
 05/25  01:00:00,96.247486034,20.1043167375,41.4832269371,0.0,4.12243109448,15.9888894789,78.7722639724,75.7805335545,2.97173041782,0.02
 05/25  02:00:00,86.581225718,17.1136756902,34.8724054349,0.0,4.12243109448,15.9888894789,71.4608600559,68.4691296381,2.97173041782,0.02
 05/25  03:00:00,92.0204222788,19.4586284981,37.9018515038,0.0,4.12243109448,15.9888894789,76.485100421,73.4933700032,2.97173041782,0.02
 05/25  04:00:00,132.226366703,27.7156825177,52.459001201,0.0,12.3672932834,24.9413748627,100.766787661,95.7939036308,4.9528840297,0.02
 05/25  05:00:00,135.904799908,28.9177837836,56.4406889467,3.19297755425,12.3672932834,24.9413748627,167.264939604,162.292055574,4.9528840297,0.02
 05/25  06:00:00,186.969282412,29.2864975747,61.2366538069,0.343967093267,24.7345865669,70.7195625826,132.814780419,122.88901236,9.90576805939,0.02
 05/25  07:00:00,232.871123773,30.1162202601,72.5645789477,0.046092358919,37.1018798503,92.3937384068,110.14159032,100.215822261,9.90576805939,0.02
 05/25  08:00:00,256.13622833,30.7216173953,83.2276328256,0.0,37.1018798503,104.434947198,92.46661523,82.5408471706,9.90576805939,0.02
 05/25  09:00:00,275.448058666,31.2397547477,89.9797895254,0.0,37.1018798503,116.476155989,76.1741440826,66.2483760232,9.90576805939,0.02
 05/25  10:00:00,283.632227214,31.7995716569,97.6036475297,0.0,37.1018798503,116.476155989,74.2600349204,55.738322239,9.90576805939,8.61594462196
 05/25  11:00:00,291.273351773,32.4093431814,104.634966264,0.0,37.1018798503,116.476155989,57.6771106117,47.7513425523,9.90576805939,0.02
 05/25  12:00:00,285.748768986,33.0388677113,110.522462807,0.0,37.1018798503,104.434947198,57.4264839743,47.5007159149,9.90576805939,0.02
 05/25  13:00:00,306.033669337,33.8213432353,117.983223863,0.0,37.1018798503,116.476155989,49.6739013504,39.748133291,9.90576805939,0.02
 05/25  14:00:00,312.618146152,34.582858404,123.806287354,0.0,37.1018798503,116.476155989,43.2710569378,33.3452888785,9.90576805939,0.02
 05/25  15:00:00,319.341443929,35.2392817428,129.873378454,0.0,37.1018798503,116.476155989,38.3391083861,19.8181488449,9.90576805939,8.61519148182
 05/25  16:00:00,324.682791037,35.6402474917,134.814206031,0.0,37.1018798503,116.476155989,18.3484778558,8.42270979638,9.90576805939,0.02
 05/25  17:00:00,325.718264415,35.8180140288,135.672709988,0.0,37.1018798503,116.476155989,17.5271786976,7.60141063824,9.90576805939,0.02
